numTreatments,instCode,journals,dois,country,name,type,country_name,region
191,ZFMK,ZooKeys;Journal of Hymenoptera Research;Nota Lepidopterologica;Zoosystematics and Evolution;Evolutionary Systematics,10.3897/zookeys.837.32057;10.3897/zookeys.829.29708;10.3897/zookeys.896.36493;10.3897/jhr.63.12754;10.3897/zookeys.772.25320;10.3897/zookeys.746.14885;10.3897/zookeys.721.13918;10.3897/zookeys.525.6057;10.3897/zookeys.693.13012;10.3897/nl.40.10440;10.3897/zookeys.577.7825;10.3897/zookeys.679.12547;10.3897/zookeys.660.11780;10.3897/zookeys.635.9915;10.3897/zookeys.609.8288;10.3897/zookeys.568.6872;10.3897/zse.97.57297;10.3897/zookeys.1026.63749;10.3897/evolsyst.3.33417;10.3897/zookeys.811.29725,DE,Zoologisches Forschungsmuseum Alexander Koenig,MUSEUM,Germany,GN
78,NHMB,ZooKeys,10.3897/zookeys.837.32057;10.3897/zookeys.789.27022;10.3897/zookeys.753.22366;10.3897/zookeys.699.12031;10.3897/zookeys.536.5982;10.3897/zookeys.912.47719;10.3897/zookeys.615.9179;10.3897/zookeys.980.56807;10.3897/zookeys.596.8725,,Natural History Museum Bucharest,,,
302,HNHM,ZooKeys;Journal of Hymenoptera Research;Subterranean Biology;Zoosystematics and Evolution;Deutsche Entomologische Zeitschrift,10.3897/zookeys.837.32057;10.3897/zookeys.825.31663;10.3897/JHR.48.7094;10.3897/zookeys.808.29433;10.3897/zookeys.796.21515;10.3897/zookeys.796.22517;10.3897/jhr.68.30131;10.3897/subtbiol.29.32779;10.3897/subtbiol.25.23463;10.3897/subtbiol.23.14930;10.3897/zookeys.523.6114;10.3897/zookeys.706.18081;10.3897/zookeys.529.6139;10.3897/zookeys.912.47719;10.3897/zookeys.565.6877;10.3897/zookeys.587.7961;10.3897/zookeys.944.49921;10.3897/zookeys.678.13059;10.3897/zookeys.632.10483;10.3897/zookeys.999.58747;10.3897/zookeys.599.8168;10.3897/zookeys.592.8118;10.3897/zse.97.59143;10.3897/dez.68.60193;10.3897/subtbiol.38.64762;10.3897/zookeys.1037.64038;10.3897/jhr.72.39339;10.3897/zookeys.769.25258,HU,Hungarian Natural History Museum (Termeszettudomanyi Muzeum),,Hungary,GN
46,VNMN,ZooKeys;PhytoKeys,10.3897/zookeys.837.32057;10.3897/zookeys.797.29138;10.3897/zookeys.524.6158;10.3897/zookeys.551.6168;10.3897/phytokeys.146.49731;10.3897/zookeys.996.56562;10.3897/zookeys.1018.61033;10.3897/zookeys.1036.56919,VN,Vietnam National Museum of Nature,,Viet Nam,GN
10,NME,ZooKeys;Zoosystematics and Evolution,10.3897/zookeys.837.32057;10.3897/zookeys.796.20736;10.3897/zookeys.772.25320;10.3897/zse.91.5411,ET,"National Museum of Ethiopia in Addis Ababa, Ethiopia",MUSEUM,Ethiopia,GS
10,MZUF,ZooKeys;Subterranean Biology,10.3897/zookeys.837.32057;10.3897/subtbiol.32.37509;10.3897/zookeys.662.11908,IT,"Museo Zoologico La Specola, Universita di Firenze",,Italy,GN
24,ISNB,ZooKeys,10.3897/zookeys.837.32057;10.3897/zookeys.963.54714;10.3897/zookeys.848.34207,,,,,
483,NHMUK,ZooKeys;Zoosystematics and Evolution;Journal of Hymenoptera Research;Subterranean Biology;Nota Lepidopterologica;Deutsche Entomologische Zeitschrift,10.3897/zookeys.837.32057;10.3897/zse.93.10995;10.3897/zookeys.896.36493;10.3897/zookeys.806.21916;10.3897/zookeys.796.23076;10.3897/jhr.68.30131;10.3897/jhr.73.33876;10.3897/jhr.73.38383;10.3897/zookeys.795.28384;10.3897/zookeys.793.25005;10.3897/zookeys.790.26130;10.3897/zookeys.782.27938;10.3897/zookeys.777.23212;10.3897/zookeys.773.24878;10.3897/subtbiol.25.23463;10.3897/zookeys.755.23939;10.3897/zookeys.718.13700;10.3897/zookeys.705.19815;10.3897/zse.95.33880;10.3897/zookeys.867.28728;10.3897/zookeys.857.34938;10.3897/zookeys.854.35133;10.3897/zookeys.842.29243;10.3897/zookeys.529.6139;10.3897/zookeys.899.47070;10.3897/zookeys.912.47719;10.3897/zookeys.911.38496;10.3897/zookeys.907.36563;10.3897/nl.43.50430;10.3897/zookeys.564.6560;10.3897/jhr.78.53064;10.3897/zookeys.684.13383;10.3897/zookeys.677.12435;10.3897/zookeys.672.10212;10.3897/zookeys.646.10897;10.3897/zookeys.611.9058;10.3897/zookeys.976.53859;10.3897/zookeys.990.55542;10.3897/zookeys.995.55981;10.3897/zookeys.1001.58447;10.3897/dez.67.51332;10.3897/zookeys.592.8118;10.3897/zookeys.589.7933;10.3897/zookeys.590.7950;10.3897/zookeys.566.6982;10.3897/zookeys.1007.55543;10.3897/zookeys.1007.60012;10.3897/zse.97.52354;10.3897/subtbiol.37.55376;10.3897/zookeys.1012.54779;10.3897/zookeys.1019.60364;10.3897/zookeys.1028.56784;10.3897/zookeys.1031.62391;10.3897/jhr.82.64657;10.3897/zookeys.1037.64038;10.3897/zookeys.520.6006;10.3897/zookeys.761.24214;10.3897/zookeys.710.13941;10.3897/nl.40.14528,GB,"Natural History Museum, London",MUSEUM,United Kingdom,GN
13,QSBG,ZooKeys;Journal of Hymenoptera Research,10.3897/zookeys.837.32057;10.3897/jhr.57.12892;10.3897/jhr.57.12462;10.3897/zookeys.829.28718;10.3897/jhr.54.11662;10.3897/jhr.62.20888;10.3897/jhr.70.34206;10.3897/zookeys.725.20777,,,,,
1,UMIC,ZooKeys,10.3897/zookeys.837.32057,US,University of Mississippi,,United States,GN
