numTreatments,instCode,name,type,journals,dois,country,country_name,region
10,PDD,Manaaki Whenua - Landcare Research,HERBARIUM,MycoKeys,10.3897/mycokeys.74.57824;10.3897/mycokeys.80.64435,NZ,New Zealand,GN
10,LMBC,,,ZooKeys,10.3897/zookeys.593.7728,,,
10,UNILA,,,Journal of Hymenoptera Research,10.3897/jhr.81.60048,,,
9,NMV,Museum Victoria,MUSEUM,Evolutionary Systematics;ZooKeys,10.3897/evolsyst.1.14847;10.3897/zookeys.818.32061,AU,Australia,GN
9,USMB,,,ZooKeys,10.3897/zookeys.821.29019;10.3897/zookeys.1009.59205;10.3897/zookeys.577.7301,,,
9,PSUZC,"Princess Maha Chakri Sirindhorn Natural History Museum (PSU Museum, Prince of Songkla University, Thailand)",MUSEUM,Zoosystematics and Evolution;ZooKeys,10.3897/zse.95.39214;10.3897/zookeys.795.28384;10.3897/zookeys.695.13771;10.3897/zookeys.635.10454,TH,Thailand,GS
9,ZMHU,Zoologisches Museum der Humboldt Universitaet,,ZooKeys,10.3897/zookeys.800.26292,DE,Germany,GN
9,EPN,Escuela Polytecnica Nacional,,ZooKeys,10.3897/zookeys.766.24523,EC,Ecuador,GS
9,USJ,Universidad de Costa Rica,UNIVERSITY_COLLEGE,PhytoKeys,10.3897/phytokeys.76.10298,CR,Costa Rica,GS
9,INB,Instituto Nacional de Biodiversidad,HERBARIUM,PhytoKeys,10.3897/phytokeys.76.10298,CR,Costa Rica,GS
9,WU,Wayland University,,PhytoKeys;MycoKeys,10.3897/phytokeys.75.10244;10.3897/mycokeys.66.48389;10.3897/mycokeys.63.49054;10.3897/mycokeys.59.37966,US,United States,GN
9,FLAS,,,PhytoKeys;MycoKeys,10.3897/phytokeys.72.9355;10.3897/phytokeys.67.6703;10.3897/mycokeys.80.64435;10.3897/mycokeys.30.22887;10.3897/phytokeys.86.11249;10.3897/mycokeys.56.30280,,,
